pi,ev,pe,evr / pm,0.202,3.15331,5.8275,9.94825,21.08482,39.5317,93.65682
0.350896,2.000000,27150.579482,9.633864,230.000000,195.000000,163.000000,131.000000,93.000000,59.000000,29.000000
0.350896,2.000000,27150.579482,3.917775,195.000000,164.000000,133.000000,103.000000,67.000000,39.000000,16.000000
0.350896,2.000000,27150.579482,1.810113,160.000000,131.000000,101.000000,76.000000,42.000000,23.000000,8.000000
0.350896,2.000000,27150.579482,0.766252,122.000000,94.000000,70.000000,53.000000,29.000000,17.000000,0.000000
0.350896,2.000000,27150.579482,0.454205,85.000000,60.000000,43.000000,33.000000,15.000000,9.000000,0.000000
0.350896,2.000000,27150.579482,0.259234,44.000000,27.000000,18.000000,17.000000,0.000000,0.000000,0.000000
0.350896,2.000000,19.094729,3811.102525,225.000000,199.000000,171.000000,136.000000,97.000000,62.000000,34.000000
0.350896,2.000000,19.094729,9.633864,208.000000,185.000000,157.000000,125.000000,89.000000,55.000000,28.000000
0.350896,2.000000,19.094729,3.917775,177.000000,157.000000,130.000000,100.000000,65.000000,37.000000,15.000000
0.350896,2.000000,19.094729,1.810113,146.000000,127.000000,100.000000,75.000000,42.000000,23.000000,8.000000
0.350896,2.000000,19.094729,0.766252,110.000000,91.000000,69.000000,52.000000,29.000000,17.000000,0.000000
0.350896,2.000000,19.094729,0.454205,78.000000,60.000000,43.000000,33.000000,15.000000,9.000000,0.000000
0.350896,2.000000,19.094729,0.259234,40.000000,27.000000,18.000000,17.000000,0.000000,0.000000,0.000000
0.350896,2.000000,9.266744,3811.102525,195.000000,173.000000,152.000000,123.000000,85.000000,52.000000,29.000000
0.350896,2.000000,9.266744,9.633864,181.000000,162.000000,141.000000,115.000000,80.000000,48.000000,25.000000
0.350896,2.000000,9.266744,3.917775,155.000000,139.000000,118.000000,94.000000,60.000000,33.000000,14.000000
0.350896,2.000000,9.266744,1.810113,129.000000,114.000000,93.000000,72.000000,40.000000,22.000000,8.000000
0.350896,2.000000,9.266744,0.766252,97.000000,82.000000,63.000000,50.000000,28.000000,16.000000,0.000000
0.350896,2.000000,9.266744,0.454205,69.000000,54.000000,40.000000,32.000000,15.000000,9.000000,0.000000
0.350896,2.000000,9.266744,0.259234,38.000000,27.000000,18.000000,17.000000,0.000000,0.000000,0.000000
0.350896,2.000000,5.685544,3811.102525,159.000000,144.000000,127.000000,105.000000,73.000000,45.000000,25.000000
0.350896,2.000000,5.685544,9.633864,146.000000,133.000000,116.000000,97.000000,68.000000,41.000000,21.000000
0.350896,2.000000,5.685544,3.917775,126.000000,116.000000,99.000000,82.000000,53.000000,30.000000,14.000000
0.350896,2.000000,5.685544,1.810113,104.000000,95.000000,78.000000,64.000000,35.000000,21.000000,8.000000
0.350896,2.000000,5.685544,0.766252,82.000000,73.000000,57.000000,48.000000,26.000000,16.000000,0.000000
0.350896,2.000000,5.685544,0.454205,61.000000,52.000000,39.000000,32.000000,15.000000,9.000000,0.000000
0.350896,2.000000,5.685544,0.259234,33.000000,26.000000,17.000000,17.000000,0.000000,0.000000,0.000000
0.350896,2.000000,4.414572,3811.102525,117.000000,109.000000,98.000000,80.000000,55.000000,35.000000,19.000000
0.350896,2.000000,4.414572,9.633864,107.000000,100.000000,89.000000,74.000000,52.000000,33.000000,17.000000
0.350896,2.000000,4.414572,3.917775,92.000000,87.000000,76.000000,63.000000,41.000000,25.000000,11.000000
0.350896,2.000000,4.414572,1.810113,79.000000,74.000000,63.000000,52.000000,30.000000,18.000000,0.000000
0.350896,2.000000,4.414572,0.766252,62.000000,57.000000,47.000000,40.000000,22.000000,13.000000,0.000000
0.350896,2.000000,4.414572,0.454205,48.000000,43.000000,34.000000,27.000000,14.000000,8.000000,0.000000
0.350896,2.000000,4.414572,0.259234,26.000000,22.000000,15.000000,15.000000,0.000000,0.000000,0.000000
0.350896,2.000000,3.175803,3811.102525,78.000000,73.000000,66.000000,54.000000,36.000000,20.000000,9.000000
0.350896,2.000000,3.175803,9.633864,70.000000,66.000000,59.000000,50.000000,35.000000,20.000000,9.000000
0.350896,2.000000,3.175803,3.917775,62.000000,60.000000,53.000000,45.000000,30.000000,17.000000,7.000000
0.350896,2.000000,3.175803,1.810113,55.000000,53.000000,46.000000,38.000000,23.000000,13.000000,0.000000
0.350896,2.000000,3.175803,0.766252,44.000000,42.000000,35.000000,30.000000,18.000000,10.000000,0.000000
0.350896,2.000000,3.175803,0.454205,34.000000,32.000000,26.000000,21.000000,12.000000,0.000000,0.000000
0.350896,2.000000,3.175803,0.259234,17.000000,16.000000,12.000000,12.000000,0.000000,0.000000,0.000000
0.350896,2.000000,2.108153,3811.102525,40.000000,36.000000,35.000000,31.000000,19.000000,10.000000,0.000000
0.350896,2.000000,2.108153,9.633864,34.000000,31.000000,30.000000,28.000000,18.000000,10.000000,0.000000
0.350896,2.000000,2.108153,3.917775,31.000000,30.000000,29.000000,27.000000,17.000000,10.000000,0.000000
0.350896,2.000000,2.108153,1.810113,28.000000,27.000000,26.000000,24.000000,14.000000,8.000000,0.000000
0.350896,2.000000,2.108153,0.766252,24.000000,23.000000,22.000000,21.000000,13.000000,7.000000,0.000000
0.350896,2.000000,2.108153,0.454205,17.000000,16.000000,15.000000,14.000000,8.000000,0.000000,0.000000
0.350896,2.000000,2.108153,0.259234,11.000000,10.000000,9.000000,9.000000,0.000000,0.000000,0.000000
0.350896,85.000000,27150.579482,3811.102525,196.000000,172.000000,145.000000,115.000000,86.000000,55.000000,30.000000
